Категория,Дисциплина,Тип,Спортсмен / Команда,Состав эстафеты,Результат,Результат (сек),Место,Дата,Дата (ISO)
"Женщины, бассейн 50 м",на спине 50 м,личное,Васькина Дарья,,27.51,27.51,Кванджу,25.07.2019,2019-07-25
"Женщины, бассейн 50 м",брасс 50 м,личное,Богомолова Елена,,30.40,30.40,Казань,25.04.2022,2022-04-25
"Женщины, бассейн 50 м",баттерфляй 50 м,личное,Осетрова Мария,,25.79,25.79,Казань,16.04.2025,2025-04-16
"Женщины, бассейн 50 м",вольный стиль 50 м,личное,Татаринова Дарья,,24.87,24.87,Рим,11.07.2021,2021-07-11
"Женщины, бассейн 50 м",на спине 100 м,личное,Васькина Дарья,,59.46,59.46,Москва,12.04.2019,2019-04-12
"Женщины, бассейн 50 м",брасс 100 м,личное,Чикунова Евгения,,1:05.90,65.90,Токио,27.07.2021,2021-07-27
"Женщины, бассейн 50 м",баттерфляй 100 м,личное,Сабитова Александра,,57.96,57.96,Казань,04.04.2021,2021-04-04
"Женщины, бассейн 50 м",вольный стиль 100 м,личное,Клепикова Дарья,,54.45,54.45,Казань,26.04.2022,2022-04-26
"Женщины, бассейн 50 м",вольный стиль 100 м,личное,Опёнышева Арина,,54.45,54.45,Баку,24.06.2015,2015-06-24
"Женщины, бассейн 50 м",на спине 200 м,личное,Устинова Дарья К.,,2:08.02,128.02,Москва,14.05.2014,2014-05-14
"Женщины, бассейн 50 м",брасс 200 м,личное,Чикунова Евгения,,2:20.57,140.57,Токио,29.07.2021,2021-07-29
"Женщины, бассейн 50 м",баттерфляй 200 м,личное,Фокина Серафима,,2:07.67,127.67,Отопени,20.08.2025,2025-08-20
"Женщины, бассейн 50 м",вольный стиль 200 м,личное,Мишарина Ксения,,1:58.06,118.06,Санкт-Петербург,19.04.2026,2026-04-19
"Женщины, бассейн 50 м",комплексное плавание 200 м,личное,Блинова Виктория,,2:12.60,132.60,Санкт-Петербург,20.04.2026,2026-04-20
